               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091241,             0.03249,                   0,           0.0014815,                 0.4,           0.0048567,           0.0010417,            0.084592,            0.023792,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.10024,            0.031022,                   0,          0.00083333,                 0.1,            0.003258,          0.00076735,            0.077995,            0.022802,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.10425,            0.032054,                   0,           0.0023333,                 0.7,            0.012532,           0.0020781,            0.067012,            0.021997,                   0,            0.087372,           0.0013723,           0.0013723
                   3,            0.088487,            0.033755,                   0,           0.0048414,                   1,            0.047326,           0.0095112,            0.049917,            0.020613,                   0,            0.082844,           0.0018436,           0.0018436
                   4,             0.09379,            0.034047,                   0,            0.063005,                 0.8,             0.20873,            0.038304,            0.044524,            0.019118,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.072745,            0.033045,                   0,            0.075172,                 0.8,             0.16963,             0.02359,             0.04418,            0.019175,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.075307,             0.03236,                   0,             0.14047,                 0.1,             0.22188,            0.080565,            0.042283,            0.017566,                   0,            0.069198,            0.003198,            0.003198
                   7,             0.08292,            0.028633,                   0,             0.44515,                 0.2,             0.45421,             0.11949,            0.039613,            0.016765,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.067923,            0.027787,                   0,             0.37955,                 0.2,             0.48443,             0.14963,            0.039088,             0.01594,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.046105,            0.028699,                   0,             0.44809,                 0.6,             0.52455,             0.20935,            0.046384,            0.014096,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.067784,              0.0264,                   0,             0.40905,                 0.5,             0.51247,             0.20153,            0.041343,            0.013252,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.075679,            0.025819,                   0,              0.8847,                 0.5,             0.68826,             0.24885,            0.042103,            0.012826,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.073431,            0.023874,                   0,             0.52945,                 0.6,             0.48422,              0.2372,            0.044125,            0.012114,                   0,             0.04164,           0.0056397,           0.0056397
